Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,570.500000,574.775024,560.650024,568.575012,501.081512,8072702
2018-04-03,567.349976,571.775024,564.049988,570.224976,502.535675,4077168
2018-04-04,572.000000,572.275024,560.000000,562.099976,495.375122,4813302
2018-04-05,569.775024,575.650024,564.549988,573.775024,505.664398,7763544
2018-04-06,571.500000,573.000000,561.049988,563.500000,496.608948,5937742
2018-04-09,562.500000,562.900024,553.275024,555.625000,489.668732,7202882
2018-04-10,556.000000,562.250000,552.700012,556.700012,490.616211,8926058
2018-04-11,559.000000,565.750000,558.250000,562.125000,495.397217,9025574
2018-04-12,564.724976,586.375000,562.500000,581.299988,512.296082,17044366
2018-04-13,587.000000,592.950012,575.125000,585.724976,516.195740,21227038
2018-04-16,551.000000,570.000000,551.000000,566.599976,499.340973,24745084
2018-04-17,563.500000,563.700012,557.500000,562.599976,495.815765,10397940
2018-04-18,561.424988,567.375000,556.924988,562.974976,496.146301,10430380
2018-04-19,562.000000,569.900024,561.549988,566.424988,499.186798,8525542
2018-04-20,569.500000,596.849976,568.474976,589.224976,519.280273,24272692
2018-04-23,584.000000,607.200012,577.625000,593.849976,523.356201,21830638
2018-04-24,592.500000,598.200012,575.049988,577.250000,508.726776,8526216
2018-04-25,576.000000,585.500000,572.599976,580.174988,511.304596,11594178
2018-04-26,587.000000,590.825012,580.000000,588.224976,518.398987,11302084
2018-04-27,590.000000,595.799988,587.099976,592.599976,522.254700,7663370
2018-04-30,590.849976,603.974976,590.325012,599.750000,528.555908,5511678
2018-05-02,599.450012,600.799988,590.500000,598.525024,527.476379,10295042
2018-05-03,598.625000,602.349976,588.049988,591.275024,521.087036,5332230
2018-05-04,592.500000,593.000000,577.500000,586.549988,516.922791,6023368
2018-05-07,590.625000,595.000000,587.750000,591.500000,521.285156,4638960
2018-05-08,588.950012,588.950012,580.525024,582.775024,513.596069,5718556
2018-05-09,583.750000,588.450012,581.500000,585.349976,515.865295,3783504
2018-05-10,588.000000,591.500000,581.424988,584.000000,514.675476,3182862
2018-05-11,586.150024,591.599976,583.025024,590.375000,520.293823,3311706
2018-05-14,592.174988,595.750000,585.000000,594.650024,524.061279,4432094
2018-05-15,594.049988,604.000000,594.049988,597.275024,526.374634,5611974
2018-05-16,593.625000,599.000000,592.250000,594.974976,524.347717,6205004
2018-05-17,598.000000,598.724976,586.775024,591.450012,521.241272,9519598
2018-05-18,591.500000,593.275024,586.500000,591.599976,521.373352,7139660
2018-05-21,589.775024,594.200012,585.000000,589.750000,519.743042,8475320
2018-05-22,587.500000,599.000000,586.950012,596.924988,526.066345,5636804
2018-05-23,597.500000,603.825012,590.750000,592.450012,522.122375,9538442
2018-05-24,599.000000,613.775024,599.000000,610.500000,538.029785,9740570
2018-05-25,615.049988,624.325012,610.400024,614.150024,541.246460,8901438
2018-05-28,615.500000,616.299988,603.000000,607.200012,535.121521,5739794
2018-05-29,607.025024,613.275024,603.099976,608.349976,536.135010,3388934
2018-05-30,608.500000,614.375000,602.799988,605.849976,533.931763,6323066
2018-05-31,605.849976,621.000000,605.125000,615.900024,542.788818,19720340
2018-06-01,615.200012,623.125000,608.599976,610.400024,537.941650,4998356
2018-06-04,610.549988,621.500000,606.000000,619.700012,546.137756,4270156
2018-06-05,621.000000,621.000000,608.500000,610.424988,537.963623,4710862
