Date,CIPLA,HUL,INFY,RIL
20-08-2018,631.904053,1651.4021,614.788025,1204.503418
21-08-2018,638.185364,1628.633789,614.654724,1216.50061
23-08-2018,645.742493,1647.499023,620.628418,1238.203003
24-08-2018,639.117737,1655.072876,612.145447,1246.05481
27-08-2018,647.361816,1665.62085,628.622681,1259.710205
28-08-2018,636.271484,1646.012207,632.753174,1286.533325
29-08-2018,631.560608,1631.74707,626.268921,1262.34375
30-08-2018,637.400208,1647.545532,628.977905,1243.079956
31-08-2018,649.864563,1654.283081,640.036865,1211.08728
03-09-2018,637.056702,1579.008057,636.994507,1198.894775
04-09-2018,631.953186,1534.493652,654.782043,1211.379883
05-09-2018,634.554016,1497.785522,648.342102,1196.797852
06-09-2018,649.815491,1494.904541,645.899414,1230.351074
07-09-2018,652.416382,1522.923706,650.918091,1247.127686
10-09-2018,655.65509,1496.484497,649.185913,1224.937622
11-09-2018,642.749084,1478.223267,652.250549,1207.234375
12-09-2018,644.270386,1511.864746,659.889587,1221.670166
14-09-2018,654.035767,1514.141602,651.717468,1222.304077
17-09-2018,652.563599,1491.977051,644.833496,1195.724854
18-09-2018,651.385864,1547.271729,638.748901,1187.190186
19-09-2018,648.343323,1530.683594,639.326233,1180.947998
21-09-2018,641.080566,1506.706909,626.490845,1187.531738
24-09-2018,633.621643,1478.037231,637.993774,1201.723633
25-09-2018,649.471985,1515.582153,645.055603,1200.309204
26-09-2018,660.317017,1496.902832,637.638428,1220.59729
27-09-2018,647.116516,1505.592041,643.812012,1222.889404
28-09-2018,641.914856,1494.718872,648.47522,1226.985962
01-10-2018,642.013,1526.223022,663.22052,1201.382324
03-10-2018,642.405579,1504.430054,647.09845,1175.437012
04-10-2018,626.555237,1462.703613,628.178528,1094.626221
05-10-2018,624.837708,1448.39209,643.634216,1023.03302
08-10-2018,626.947754,1449.135498,634.61853,1082.092529
09-10-2018,627.487549,1405.550293,637.549683,1063.218872
10-10-2018,627.73291,1419.676147,622.182739,1074.972168
11-10-2018,604.767151,1418.235596,598.110962,1061.02417
12-10-2018,611.342773,1458.661133,602.951904,1098.820313
15-10-2018,635.829834,1418.421631,620.717102,1111.695435
16-10-2018,627.880188,1436.915039,617.563843,1135.153564
17-10-2018,628.5672,1451.598389,626.535217,1122.96106
19-10-2018,622.040588,1466.839233,607.171204,1074.191895
22-10-2018,617.96759,1472.879883,603.973511,1036.493286
23-10-2018,610.802979,1442.351685,584.120789,1028.739014
24-10-2018,609.772522,1473.855469,577.192322,1020.009216
