Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,1315.000000,1360.550049,1315.000000,1351.300049,1246.386230,708747
2018-04-03,1347.099976,1355.500000,1338.650024,1348.400024,1243.711426,979726
2018-04-04,1348.000000,1360.000000,1339.550049,1357.449951,1252.058594,912607
2018-04-05,1380.000000,1383.800049,1362.699951,1382.199951,1274.887085,588716
2018-04-06,1381.949951,1381.949951,1362.449951,1374.800049,1268.061768,633937
2018-04-09,1367.949951,1396.400024,1367.500000,1391.599976,1283.557251,923543
2018-04-10,1398.800049,1402.800049,1387.000000,1391.500000,1283.465088,969036
2018-04-11,1393.000000,1420.500000,1385.550049,1409.150024,1299.744629,1015714
2018-04-12,1408.000000,1416.000000,1397.099976,1412.750000,1303.065186,510556
2018-04-13,1412.000000,1413.849976,1399.199951,1410.550049,1301.036255,534981
2018-04-16,1408.900024,1423.199951,1404.849976,1419.500000,1309.291016,325041
2018-04-17,1420.500000,1450.500000,1419.800049,1445.550049,1333.318726,1176082
2018-04-18,1450.500000,1456.150024,1440.000000,1450.500000,1337.884399,765225
2018-04-19,1451.400024,1467.900024,1448.349976,1454.199951,1341.297119,682820
2018-04-20,1442.000000,1472.150024,1441.199951,1467.800049,1353.841309,674146
2018-04-23,1471.000000,1471.000000,1450.000000,1452.750000,1339.959595,395622
2018-04-24,1464.000000,1469.750000,1445.699951,1459.650024,1346.323975,1218174
2018-04-25,1459.000000,1463.000000,1449.050049,1459.199951,1345.908813,504777
2018-04-26,1463.000000,1498.599976,1459.849976,1491.250000,1375.470581,1321586
2018-04-27,1491.250000,1497.500000,1469.900024,1473.949951,1359.513794,818770
2018-04-30,1475.000000,1513.550049,1474.550049,1508.900024,1391.750366,612159
2018-05-02,1512.000000,1514.000000,1464.650024,1471.949951,1357.668945,1047583
2018-05-03,1465.599976,1468.949951,1441.599976,1452.199951,1339.452515,1243694
2018-05-04,1455.000000,1471.000000,1447.650024,1464.199951,1350.520630,586841
2018-05-07,1472.400024,1502.000000,1465.000000,1497.900024,1381.604248,887065
2018-05-08,1494.000000,1504.800049,1478.500000,1496.050049,1379.897949,906975
2018-05-09,1496.900024,1511.000000,1486.250000,1496.000000,1379.851563,759263
